Block Group ID,Population,Parcels,School Kids,Households,Square Miles,Violent Crime Rate,Property Crime Rate,Nuisance Calls Rate,Vice Calls Rate,Animal Calls Rate,Median Household Income,Assessed Value 2012,Foreclosure Starts,Estimated Tax Bill 2012,Land Value Per Acre 2012,% School Aged Children,Household Size,PopDen,% High School or More,% Bachelors or More,Unemployment Rate,% In Labor Force,% on Public Assistance,Poverty Rate,Child Poverty Rate,% Owner Occupied,% Renter Occupied,Vacant Structures,Vacant Lots,Out of Town Owners,City Demolitions,Blighted Properties,Certs of Compliance/Occupancy Issued,Population Under 9,Population 10-17,Population 18-21,Population 22-29,Population 30's,Population 40's,Population 50's,Population 60's,Population Over 70,American Indian Population,Asian Population,Black Population,All Other Population,White Population,% Commercial Land Use,% Industrial Land Use,% Other Land Use,% Residential Land Use,% Vacant Land Use
360550002001,627,443,104,296,0.41,30.3,312.6,652.3,165.9,2165.9,"12,640","32,300",3,1400.63,"84,967",16.6,2.1,1545.3,63.15,5.54,35.59,63.4,31.24,58.7,73.70,7.67,92.33,20,70,45,0,13,33,94,66,41,132,92,89,54,36,22,5,18,268,98,243,53.5,2.4,9.2,18.1,16.9
360550002002,1365,428,401,466,0.16,20.5,47.6,209.5,180.2,132.6,"12,640","28,000",4,886.23,"38,614",29.4,2.9,8634.8,63.15,5.54,27.12,62.8,31.24,58.7,73.70,19.86,80.14,47,41,56,2,33,46,244,245,125,156,178,173,147,59,32,8,201,609,204,351,15.1,1.0,1.2,73.0,9.8
360550002003,597,174,131,234,0.06,10.1,85.4,217.8,241.2,118.9,"12,640","33,000",4,1081.61,"40,992",21.9,2.5,9287.6,63.15,5.54,36.16,61.2,31.24,58.7,73.70,11.49,88.51,18,21,22,0,17,21,108,78,36,90,94,69,72,32,13,9,8,294,98,197,28.5,1.7,1.2,56.4,12.2
360550007001,861,269,217,329,0.07,10.5,55.7,288.0,188.2,82.5,"14,022","22,000",3,687.73,"28,956",25.2,2.6,13070.2,50.97,4.06,19.89,55.2,29.70,44,56.90,27.88,72.12,28,46,26,1,26,17,170,108,55,90,96,115,75,71,67,10,10,298,280,273,8.6,0.0,0.8,72.7,18.0
360550007002,691,336,173,219,0.09,24.6,68.0,169.3,118.7,102.7,"14,022","18,600",4,590.82,"28,560",25.0,3.0,7923.9,50.97,4.06,15.67,39.8,29.70,44,56.90,27.38,72.62,20,115,22,3,11,15,129,95,68,62,95,110,65,24,39,5,3,498,101,89,9.5,0.3,0.6,54.6,35.1
360550007003,535,262,124,183,0.07,9.3,54.2,82.2,119.6,102.8,"14,022","18,800",4,611.14,"27,239",23.2,2.9,7777.5,50.97,4.06,0.00,35.7,29.70,44,56.90,25.57,74.43,22,82,20,2,10,9,79,82,48,61,73,63,65,24,32,0,4,392,88,51,9.6,0.0,1.6,56.2,32.7
360550010001,1659,362,41,782,0.26,1.2,44.6,42.2,4.2,18.7,"29,007","121,100",0,4048.23,"75,433",2.5,1.5,6401.4,92.03,49.78,0.00,76.0,39.87,21.2,0.00,24.03,75.97,6,18,73,0,6,40,57,27,290,603,238,164,143,86,44,7,90,196,71,1302,38.3,2.3,4.7,48.7,6.0
360550010002,1359,185,28,882,0.11,3.7,60.3,103.0,5.9,14.7,"29,007","181,500",1,6111.42,"121,142",2.1,1.3,12105.7,92.03,49.78,11.16,70.1,39.87,21.2,0.00,27.57,72.43,2,9,15,0,4,29,28,12,62,474,195,150,159,85,183,2,42,209,61,1047,42.0,0.0,5.0,48.1,5.0
360550010003,650,174,25,410,0.16,7.7,120.0,184.6,15.4,36.9,"29,007","125,000",0,4220.17,"72,350",3.8,1.6,4022.5,92.03,49.78,18.45,66.5,39.87,21.2,0.00,26.44,73.56,3,4,12,0,2,31,54,18,42,204,114,102,65,29,21,4,7,122,42,479,35.1,4.2,4.8,53.6,2.4
360550013001,1843,53,392,617,0.15,8.7,87.9,93.9,45.0,22.8,"24,012","45,700",1,1428.60,"34,073",21.3,2.7,11903.6,60.30,4.36,27.56,58.7,6.06,37.8,46.30,13.21,86.79,0,7,3,0,1,4,508,307,148,220,216,149,148,65,77,8,1,1124,470,248,47.2,0.0,13.2,26.4,13.2
360550015001,1021,571,281,377,0.16,19.6,74.4,220.4,65.6,148.9,"22,625","18,000",3,578.32,"28,925",27.5,2.7,6234.7,69.10,3.93,7.12,39.5,8.90,47.2,59.20,18.04,81.96,40,191,61,3,22,32,220,124,79,121,103,131,111,57,68,3,1,584,260,176,13.3,0.7,1.5,49.7,34.8
360550018001,836,317,91,428,0.16,1.2,22.7,70.6,9.6,33.5,"36,004","81,000",6,2532.10,"52,842",10.9,2.0,5316.9,86.39,20.51,12.60,65.3,30.63,20.1,34.00,77.92,22.08,1,3,22,0,2,7,108,51,28,111,128,118,120,78,90,9,6,89,57,684,7.0,1.0,0.0,91.0,1.0
360550018002,1137,571,95,554,0.23,0.9,39.6,105.5,5.3,52.8,"36,004","75,500",6,2375.80,"60,314",8.4,2.1,4930.2,86.39,20.51,8.44,49.3,30.63,20.1,34.00,76.18,23.82,10,14,15,0,5,11,120,76,41,141,192,190,173,96,98,8,11,170,60,896,7.9,0.4,0.4,89.0,2.5
360550018003,1158,266,181,531,0.36,2.6,41.5,48.4,0.9,26.8,"36,004","64,600",3,2031.93,"45,385",15.6,2.2,3205.5,86.39,20.51,0.00,58.6,30.63,20.1,34.00,56.02,43.98,2,12,41,0,0,17,179,106,73,254,158,148,120,61,50,6,22,620,140,376,11.7,3.9,0.4,78.7,5.2
360550018004,566,337,56,260,0.72,3.5,91.9,162.5,17.7,37.1,"36,004","64,000",3,2031.93,"53,035",9.9,2.2,780.8,86.39,20.51,35.38,83.7,30.63,20.1,34.00,46.59,53.41,4,34,49,0,1,22,56,55,26,79,72,98,93,42,41,1,22,99,42,403,20.7,2.0,0.3,65.6,11.4
360550018005,771,309,211,290,0.22,6.5,45.4,64.9,15.6,96.0,"36,004","52,800",10,1656.81,"60,416",27.4,2.7,3515.1,86.39,20.51,3.77,82.5,30.63,20.1,34.00,54.69,45.31,13,3,28,0,10,19,139,98,39,111,126,110,95,30,19,7,48,261,90,372,7.9,1.3,3.6,86.1,1.0
360550018006,714,229,137,290,0.14,2.8,15.4,63.0,4.2,53.2,"36,004","67,050",2,2096.02,"41,637",19.2,2.5,5250.1,86.39,20.51,17.18,83.0,30.63,20.1,34.00,65.50,34.50,4,12,6,0,3,3,142,82,38,103,96,105,69,43,32,0,27,287,62,338,3.9,0.0,0.4,90.4,5.2
360550019001,901,393,165,363,0.54,5.5,52.2,104.3,7.8,66.6,"28,359","65,000",8,2031.93,"45,165",18.3,2.5,1662.9,80.31,15.60,5.66,76.8,44.19,20.5,19.40,59.54,40.46,5,32,10,0,2,15,158,99,42,133,144,116,126,54,25,3,8,202,100,591,12.7,1.3,0.8,77.1,8.1
360550019002,781,246,233,283,0.11,5.1,74.3,162.6,93.5,87.1,"28,359","48,000",6,1563.02,"56,565",29.8,2.8,6969.8,80.31,15.60,4.31,58.1,44.19,20.5,19.40,31.71,68.29,9,17,21,0,13,14,181,108,57,96,132,84,81,27,14,3,40,337,106,298,20.1,0.0,1.2,71.7,7.0
360550019003,848,231,196,301,0.08,10.6,60.1,156.8,74.3,81.4,"28,359","57,000",6,1781.85,"52,715",23.1,2.8,10611.1,80.31,15.60,0.80,72.5,44.19,20.5,19.40,53.25,46.75,7,2,20,0,13,23,187,131,49,110,119,104,85,37,22,0,53,349,99,347,7.8,0.0,0.9,90.5,0.9
360550020001,425,118,56,223,0.20,4.7,30.6,105.9,21.2,91.8,"35,938","105,000",3,3438.65,"49,024",13.2,1.9,2143.0,78.42,18.78,0.00,45.3,11.82,28.1,41.80,50.00,50.00,6,7,4,0,4,7,36,32,24,62,89,61,77,22,16,3,13,132,33,247,18.6,0.0,4.2,71.2,5.9
360550020002,573,179,102,236,0.05,7.0,29.7,90.8,61.1,83.8,"35,938","77,150",1,2438.32,"50,308",17.8,2.4,10457.3,78.42,18.78,18.11,53.0,11.82,28.1,41.80,55.87,44.13,6,3,9,0,9,10,86,73,20,71,104,82,74,32,25,4,16,205,46,306,11.2,0.0,0.6,86.6,1.7
360550020003,1021,239,271,407,0.09,16.7,64.6,164.5,81.3,67.6,"35,938","70,000",8,2188.23,"45,610",26.5,2.5,10967.9,78.42,18.78,12.77,62.4,11.82,28.1,41.80,45.61,54.39,7,2,19,0,20,25,194,135,71,135,145,147,106,49,33,1,23,465,135,398,13.4,0.0,0.8,84.9,0.8
360550020004,1013,249,244,344,0.07,9.9,41.5,376.1,986.2,75.0,"35,938","66,600",6,2081.95,"54,974",24.1,2.9,13689.1,78.42,18.78,22.75,58.0,11.82,28.1,41.80,60.24,39.76,14,1,18,0,11,16,179,160,63,117,157,124,121,55,32,8,66,437,138,372,7.2,0.0,0.4,92.0,0.4
