Reg	County	DOT ID	Route	Co Rd	Name	From	To	Co Ordr	Beg	End	Length	Muni Code	Muni Type	Municipality	Jurisdiction	FC	UAC	NHS	Overlap #	Olap rank	HPMS	SH No	Lanes	Pvmnt	Divided	One Way	Pkwy	Grouped	Svce Rd	Disc	Station	AADT	AADT Yr
4	MONROE	100023	NY104			CR 18  FIVE-MILE RD OVER		3	27.98	28.19	0.21	885	Town	Webster	01 NYSDOT	12	75664	1				68-1	4	O	Y						204	50100	2008
4	MONROE	100023	NY104				HARD RD IS UNDER WITH CONN	3	28.19	28.69	0.5	885	Town	Webster	01 NYSDOT	12	75664	1				73-1	4	A	Y						204	50100	2008
4	MONROE	100359	NY390			RT 104 RIDGE RD		1	3.58	3.74	0.16	341	Town	Greece	01 NYSDOT	12	75664	1				80-9	4	O	Y						162	50900	2010
4	MONROE	100359	NY390				PADDY HILL CREEK	1	3.74	4.77	1.03	341	Town	Greece	01 NYSDOT	12	75664	1				80-9	6	O	Y						162	50900	2010
4	MONROE	100359	NY390			PADDY HILL CREEK		1	4.77	4.98	0.21	341	Town	Greece	01 NYSDOT	12	75664	1				80-9	6	O	Y						162	50900	2010
4	MONROE	100359	NY390					1	4.98	5.04	0.06	341	Town	Greece	01 NYSDOT	12	75664	1				80-9	4	O	Y						162	50900	2010
4	MONROE	100359	NY390				CR 249 VINTAGE LANE	1	5.04	5.29	0.25	341	Town	Greece	01 NYSDOT	12	75664	1				80-9	4	O	Y						162	50900	2010
4	MONROE	100444	NY590			ACC RAMP TO RT 104  WB	ACC RAMP TO RT 104 EB	1	3.9	4.2	0.3	419	Town	Irondequoit	01 NYSDOT	12	75664	1				56-7	4	O	Y						5	52800	2006
4	MONROE	100422	I490			INNER LOOP 1S TIME	MAIN ST UNDER NO CONN	2	20.89	20.94	0.05	2048	City	Rochester	01 NYSDOT	11	75664	1				71-7	6	O	Y						156	54100	2005
4	MONROE	100422	I490			MAIN ST UNDER NO CONN	PLYMOUTH AVE	2	20.94	21.29	0.35	2048	City	Rochester	01 NYSDOT	11	75664	1				71-7	6	O	Y						156	54100	2005
4	MONROE	100023	NY104			CR 16  BAY RD OVER WITH CONN		3	25.94	26.3	0.36	885	Town	Webster	01 NYSDOT	12	75664	1				68-1	6	O	Y						315	54400	2011
4	MONROE	100023	NY104				MAPLE DRIVE UNDER NO CONN	3	26.3	26.54	0.24	885	Town	Webster	01 NYSDOT	12	75664	1				68-1	5	O	Y						315	54400	2011
4	MONROE	100023	NY104			MAPLE DRIVE UNDER NO CONN		3	26.54	26.84	0.3	885	Town	Webster	01 NYSDOT	12	75664	1				68-1	5	O	Y						315	54400	2011
4	MONROE	100023	NY104				GRAVEL RD UNDER NO CONN	3	26.84	27.16	0.32	885	Town	Webster	01 NYSDOT	12	75664	1			3004698	68-1	4	O	Y						315	54400	2011
4	MONROE	100023	NY104			GRAVEL RD UNDER NO CONN		3	27.16	27.41	0.25	885	Town	Webster	01 NYSDOT	12	75664	1			3004698	68-1	4	O	Y						315	54400	2011
