1015,"ELIZABETH CADY STANTON ELEMENTARY SCHOOL","New York","New York","NY ","ELIZABETH CADY STANTON ELEMENTARY SCHOOL",362643003621,"SENECA FALLS CENTRAL SCHOOL DISTRICT",3626430,"SENECA COUNTY",36099,"Reported 7 categories",36,"1986-2010",NULL,"38 GARDEN ST","SENECA FALLS","NY ",13148,2199,"38 GARDEN ST","SENECA FALLS","NY ",13148,2199,3155685500,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.90612,-76.792793,560701060004,560701060000,3624,"2-No","?",0,0,0,0,0,95,84,86,0,0,0,0,0,0,0,21
1179,"FRANK M KNIGHT ELEMENTARY SCHOOL","New York","New York","NY ","FRANK M KNIGHT ELEMENTARY SCHOOL",362643004425,"SENECA FALLS CENTRAL SCHOOL DISTRICT",3626430,"SENECA COUNTY",36099,"Reported 7 categories",36,"1986-2010",NULL,"98 CLINTON ST","SENECA FALLS","NY ",13148,1099,"98 CLINTON ST","SENECA FALLS","NY ",13148,1099,3155685500,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.918863,-76.804073,560701060001,560701060000,3624,"2-No","?",0,0,109,89,100,0,0,0,0,0,0,0,0,0,0,26
2027,"LA FAYETTE SCHOOL","New York","New York","NY ","LA FAYETTE SCHOOL",360001401428,"WATERLOO CENTRAL SCHOOL DISTRICT",3600014,"SENECA COUNTY",36099,"Reported 7 categories",36,"1994-2010","1986-1993","71 INSLEE ST","WATERLOO","NY ",13165,1599,"71 INSLEE ST","WATERLOO","NY ",13165,1599,3155391530,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","1-Yes","1-Yes","3-Eligible for Title I SWP provides TAS program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.907978,-76.850844,561006060002,561006060000,3624,"2-No","?",0,0,0,0,0,103,104,111,0,0,0,0,0,0,0,26
2202,"MAIN STREET ELEMENTARY SCHOOL","New York","New York","NY ","MAIN STREET ELEMENTARY SCHOOL",360001401443,"WATERLOO CENTRAL SCHOOL DISTRICT",3600014,"SENECA COUNTY",36099,"Reported 7 categories",36,"1994-2010","1986-1993","202 WEST MAIN ST","WATERLOO","NY ",13165,1994,"202 W MAIN ST","WATERLOO","NY ",13165,1994,3155395600,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","2-No","1-Yes","1-Eligible for Title I TAS provides no program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.904337,-76.867424,561006060005,561006060000,3624,"2-No","?",0,0,20,20,20,16,20,19,0,0,0,0,0,0,0,9
2502,"MYNDERSE ACADEMY","New York","New York","NY ","MYNDERSE ACADEMY",362643003624,"SENECA FALLS CENTRAL SCHOOL DISTRICT",3626430,"SENECA COUNTY",36099,"Reported 7 categories",36,"1986-2010",NULL,"105 TROY ST","SENECA FALLS","NY ",13148,1198,"105 TROY ST","SENECA FALLS","NY ",13148,1198,3155685500,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","2-No","1-Yes","1-Eligible for Title I TAS provides no program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.922081,-76.796813,560701060003,560701060000,3624,"2-No","?",0,0,0,0,0,0,0,0,0,0,0,95,100,108,98,35
3823,"ROMULUS CENTRAL SCHOOL","New York","New York","NY ","ROMULUS CENTRAL SCHOOL",362493004369,"ROMULUS CENTRAL SCHOOL DISTRICT",3624930,"SENECA COUNTY",36099,"Reported 7 categories",36,"1986-2010",NULL,"5705ROUTE 96","ROMULUS","NY ",14541,9551,"5705 RT 96","ROMULUS","NY ",14541,9551,8668100345,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","42-Rural: Distant","1-Yes","1-Yes","5-Eligible for Title I SWP provides SWP program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.747747,-76.833782,560603040001,560603040000,3624,"2-No","?",0,0,30,24,33,25,40,30,27,35,37,38,25,28,27,47
4144,"SOUTH SENECA ELEMENTARY SCHOOL","New York","New York","NY ","SOUTH SENECA ELEMENTARY SCHOOL",362214003133,"SOUTH SENECA CENTRAL SCHOOL DISTRICT",3622140,"SENECA COUNTY",36099,"Reported 7 categories",36,"1986-2010",NULL,"8326 MAIN ST","INTERLAKEN","NY ",14847,9789,"8326 MAIN ST","INTERLAKEN","NY ",14847,9789,6078699636,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","42-Rural: Distant","1-Yes","1-Yes","3-Eligible for Title I SWP provides TAS program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.621316,-76.725017,560501040003,560501040000,3624,"2-No","?",0,0,57,42,45,43,60,68,0,0,0,0,0,0,0,32
4145,"SOUTH SENECA HIGH SCHOOL","New York","New York","NY ","SOUTH SENECA HIGH SCHOOL",362214003134,"SOUTH SENECA CENTRAL SCHOOL DISTRICT",3622140,"SENECA COUNTY",36099,"Reported 7 categories",36,"1986-2010",NULL,"7263 SOUTH MAIN ST","OVID","NY ",14521,9586,"7263 S MAIN ST","OVID","NY ",14521,9586,6078699636,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","42-Rural: Distant","?","2-No","6-Not eligible for either TAS or SWP","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.672885,-76.82362,560501040004,560501040000,3624,"2-No","?",0,0,0,0,0,0,0,0,0,0,0,68,67,45,65,18
4146,"SOUTH SENECA MIDDLE SCHOOL","New York","New York","NY ","SOUTH SENECA MIDDLE SCHOOL",362214005583,"SOUTH SENECA CENTRAL SCHOOL DISTRICT",3622140,"SENECA COUNTY",36099,"Reported 7 categories",36,"2003-2010","1986-2002","7263 SOUTH MAIN ST","OVID","NY ",14521,9586,"7263 S MAIN ST","OVID","NY ",14521,9586,6078699636,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","42-Rural: Distant","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.672885,-76.82362,560501040005,560501040000,3624,"2-No","?",0,0,0,0,0,0,0,0,50,62,64,0,0,0,0,12
4046,"SENECA FALLS MIDDLE SCHOOL","New York","New York","NY ","SENECA FALLS MIDDLE SCHOOL",362643004706,"SENECA FALLS CENTRAL SCHOOL DISTRICT",3626430,"SENECA COUNTY",36099,"Reported 7 categories",36,"1988-2010","1986-1987","95 TROY ST","SENECA FALLS","NY ",13148,1199,"95 TROY ST","SENECA FALLS","NY ",13148,1199,3155685500,"1-Regular school","1-Local school district","1-Currently operational ","2-No","2-No","2-No","32-Town: Distant","2-No","1-Yes","2-Eligible for Title I TAS provides TAS program","?",42900,"Rochester-Batavia-Seneca Falls, NY",464,42.921242,-76.796768,560701060005,560701060000,3624,"2-No","?",0,0,0,0,0,0,0,0,118,87,84,0,0,0,0,24
