name	BEDS Code	Enrollment	District	County
Achievement Academy Charter School	10100860876	252		ALBANY
Albany Community Charter School	10100860899	296		ALBANY
Albany Leadership Charter High School For Girls	10100860960	150		ALBANY
Albany Preparatory Charter School	10100860884	214		ALBANY
Brighter Choice Charter Middle School For Boys	10100860976	50		ALBANY
Brighter Choice Charter Middle School For Girls	10100860977	42		ALBANY
Brighter Choice Charter School For Boys	10100860829	255		ALBANY
Brighter Choice Charter School For Girls	10100860830	247		ALBANY
Green Tech High Charter School	10100860907	263		ALBANY
Henry Johnson Charter School	10100860892	366		ALBANY
Kipp Tech Valley Charter School	10100860867	286		ALBANY
Albany High School	10100010034	2507	Albany City School District	ALBANY
Albany School Of Humanities	10100010023	562	Albany City School District	ALBANY
Arbor Hill Elementary School	10100010039	414	Albany City School District	ALBANY
Delaware Community School	10100010018	418	Albany City School District	ALBANY
Eagle Point Elementary School	10100010027	297	Albany City School District	ALBANY
Giffen Memorial Elementary School	10100010029	453	Albany City School District	ALBANY
Montessori Magnet School	10100010014	326	Albany City School District	ALBANY
New Scotland Elementary School	10100010019	484	Albany City School District	ALBANY
North Albany Academy	10100010020	407	Albany City School District	ALBANY
Philip J Schuyler Achievement Academy	10100010043	359	Albany City School District	ALBANY
Pine Hills Elementary School	10100010016	390	Albany City School District	ALBANY
Sheridan Preparatory Academy	10100010044	423	Albany City School District	ALBANY
Stephen And Harriet Myers Middle School	10100010045	661	Albany City School District	ALBANY
Thomas S O'Brien Academy Of Science & Technology	10100010028	451	Albany City School District	ALBANY
William S Hackett Middle School	10100010030	576	Albany City School District	ALBANY
Berne-Knox-Westerlo Elementary School	10201040002	419	Berne-Knox-Westerlo Central School District	ALBANY
Berne-Knox-Westerlo Junior-Senior High School	10201040001	535	Berne-Knox-Westerlo Central School District	ALBANY
Bethlehem Central Middle School	10306060007	1193	Bethlehem Central School District	ALBANY
Bethlehem Central Senior High School	10306060008	1695	Bethlehem Central School District	ALBANY
Clarksville Elementary School	10306060001	203	Bethlehem Central School District	ALBANY
Eagle Elementary School	10306060009	399	Bethlehem Central School District	ALBANY
Elsmere Elementary School	10306060003	282	Bethlehem Central School District	ALBANY
Glenmont Elementary School	10306060004	370	Bethlehem Central School District	ALBANY
Hamagrael Elementary School	10306060005	398	Bethlehem Central School District	ALBANY
Slingerlands Elementary School	10306060006	451	Bethlehem Central School District	ALBANY
Abram Lansing School	10500010005	407	Cohoes City School District	ALBANY
Cohoes High School	10500010007	636	Cohoes City School District	ALBANY
Cohoes Middle School	10500010008	423	Cohoes City School District	ALBANY
Harmony Hill School	10500010009	391	Cohoes City School District	ALBANY
Van Schaick Island School	10500010006	147	Cohoes City School District	ALBANY
Heatly School	10701030001	304	Green Island Union Free School District	ALBANY
Altamont Elementary School	10802060001	303	Guilderland Central School District	ALBANY
Farnsworth Middle School	10802060008	1236	Guilderland Central School District	ALBANY
Guilderland Elementary School	10802060003	559	Guilderland Central School District	ALBANY
Guilderland High School	10802060005	1815	Guilderland Central School District	ALBANY
Lynnwood Elementary School	10802060007	434	Guilderland Central School District	ALBANY
Pine Bush Elementary School	10802060009	448	Guilderland Central School District	ALBANY
Westmere Elementary School	10802060004	440	Guilderland Central School District	ALBANY
Menands School	10615020001	243	Menands Union Free School District	ALBANY
Blue Creek School	10623060002	460	North Colonie Csd	ALBANY
Boght Hills School	10623060003	436	North Colonie Csd	ALBANY
Forts Ferry School	10623060004	464	North Colonie Csd	ALBANY
Latham Ridge School	10623060006	371	North Colonie Csd	ALBANY
Loudonville School	10623060007	304	North Colonie Csd	ALBANY
Maplewood School	10623060001	109	North Colonie Csd	ALBANY
Shaker High School	10623060010	2066	North Colonie Csd	ALBANY
Shaker Junior High School	10623060009	893	North Colonie Csd	ALBANY
Southgate School	10623060008	422	North Colonie Csd	ALBANY
Albertus W Becker School	10402060002	473	Ravena-Coeymans-Selkirk Central School District	ALBANY
Pieter B Coeymans School	10402060003	466	Ravena-Coeymans-Selkirk Central School District	ALBANY
