"RECORD,C,7","N2,C,18","NAME,C,35","GR4YN,C,4","STREET,C,26","CITY,C,18","STATE,C,3","ZIP,C,6","PLUS_4,C,7","GDTLAT,N,10,6","GDTLONG,N,11,6","GDTSTAT,C,4","NYSAD_ID,N,11,0","NYSSD_ID,N,11,0"
      1,010100010014,MONTESSORI MAGNET SCHOOL,   1,75 PARK AVE,ALBANY,NY,12202,1798,42.645109,-73.761209,B1,104,42
      2,010100010016,SCHOOL 16,   1,41 N ALLEN ST,ALBANY,NY,12203,1698,42.667661,-73.791084,B1,104,42
      3,010100010018,SCHOOL 18,   1,43 BERTHA ST,ALBANY,NY,12209,2197,42.640540,-73.778852,B1,104,42
      4,010100010019,SCHOOL 19,   1,369 NEW SCOTLAND AVE,ALBANY,NY,12208,2797,42.658026,-73.805294,B1,104,42
      5,010100010020,SCHOOL 20,   1,570 N PEARL ST,ALBANY,NY,12204,1696,42.672906,-73.739686,B1,106,42
      6,010100010021,SCHOOL 21- OPPORTUNITY PROG,   0,666 CLINTON AVE,ALBANY,NY,12206,2274,42.668722,-73.774683,B1,104,42
      7,010100010023,ALBANY SCHOOL OF HUMANITIES,   1,108 WHITEHALL RD,ALBANY,NY,12209,1495,42.643110,-73.790967,B1,104,42
      8,010100010026,SCHOOL 26,   1,65 TREMONT ST,ALBANY,NY,12205,3599,42.685055,-73.797753,B1,104,42
      9,010100010027,SCHOOL 27,   1,1022 WESTERN AVE,ALBANY,NY,12203,2795,42.674137,-73.815211,B1,104,42
     10,010100010028,THOMAS S. O'BRIEN ACAD OF SCI,   1,100 DELAWARE AVE,ALBANY,NY,12202,1398,42.648602,-73.769550,B1,104,42
     11,010100010029,GIFFEN MEMORIAL SCHOOL,   1,274 S PEARL ST,ALBANY,NY,12202,1899,42.641668,-73.756965,B1,106,42
     12,010100010030,WILLIAM S. HACKETT MS,   0,45 DELAWARE AVE,ALBANY,NY,12202,1397,42.643906,-73.760621,15,106,42
     13,010100010031,PHILIP LIVINGSTON MAGNET ACAD,   0,315 NORTHERN BLVD,ALBANY,NY,12210,2699,42.669056,-73.755663,B1,106,42
     14,010100010034,ALBANY HS,   0,700 WASHINGTON AVE,ALBANY,NY,12203,1495,42.675217,-73.794987,B1,104,42
     15,010100010036,SUNSHINE SCHOOL TRANSITIONAL P,   0,,ALBANY,NY,12202,2199,42.643906,-73.760621,14,106,42
     16,010100010039,ARBOR HILL ES,   1,1 ARBOR DR,ALBANY,NY,12210,1399,42.656429,-73.760173,15,106,42
     17,010100010040,PHILIP SCHUYLER ES,   1,141 WESTERN AVE,ALBANY,NY,12203,1098,42.661028,-73.774201,B1,104,42
     18,010100010041,HARRIET GIBBONS HS,   0,400 SHERIDAN AVE,ALBANY,NY,12206,2984,42.661611,-73.765878,B1,106,42
     19,010201040001,BERNE-KNOX-WESTERLO JSHS,   0,1738 HELDERBERG TRL,BERNE,NY,12023,2926,42.599322,-74.146067,14,104,42
     20,010201040002,BERNE ES,   1,1738 HELDERBERG TRL,BERNE,NY,12023,2926,42.599322,-74.146067,14,104,42
     21,010201040004,WESTERLO ES,   0,1738 HELDERBERG TRL,BERNE,NY,12023,2926,42.599322,-74.146067,14,104,42
     22,010306060001,CLARKSVILLE ES,   1,58 VERDA LN,CLARKSVILLE,NY,12041,0020,42.560367,-73.973084,14,104,42
     23,010306060003,ELSMERE ES,   1,247 DELAWARE AVE,DELMAR,NY,12054,1499,42.626948,-73.820178,B1,102,42
     24,010306060004,GLENMONT ES,   1,328 RT 9W,GLENMONT,NY,12077,0994,42.608109,-73.789679,B1,102,42
     25,010306060005,HAMAGRAEL ES,   1,1 MC GUFFEY LN,DELMAR,NY,12054,4199,42.607171,-73.826993,B1,102,42
     26,010306060006,SLINGERLANDS ES,   1,25 UNION AVE,DELMAR,NY,12054,1699,42.627291,-73.859916,B1,102,42
     27,010306060007,BETHLEHEM CENTRAL MS,   0,332 KENWOOD AVE,DELMAR,NY,12054,2099,42.621149,-73.826107,B1,102,42
     28,010306060008,BETHLEHEM CENTRAL SHS,   0,700 DELAWARE AVE,DELMAR,NY,12054,2499,42.613555,-73.856840,B1,102,42
     29,010402060001,RAVENA SHS,   0,RT 9W,RAVENA,NY,12143,0150,42.476275,-73.815383,14,102,42
     30,010402060002,ALBERTUS W. BECKER SCHOOL,   1,RT 9W,SELKIRK,NY,12158,0248,42.564524,-73.806216,15,102,42
     31,010402060003,PIETER B. COEYMANS SCHOOL,   1,66 CHURCH ST,COEYMANS,NY,12045,0887,42.476085,-73.793909,18,102,42
     32,010402060008,RAVENA MS,   0,RT 9W,RAVENA,NY,12143,0150,42.476275,-73.815383,14,102,42
     33,010500010005,ABRAM LANSING SCHOOL,   1,27 JAMES ST,COHOES,NY,12047,3299,42.768532,-73.708219,B1,106,42
     34,010500010006,VAN SCHAICK ISLAND SCHOOL,   1,150 CONTINENTAL AVE,COHOES,NY,12047,3299,42.768496,-73.688028,B1,106,42
     35,010500010007,COHOES HS,   0,1 TIGER WAY,COHOES,NY,12047,3299,42.771541,-73.711126,14,106,42
     36,010500010008,COHOES MS,   0,7 BEVAN ST,COHOES,NY,12047,3299,42.770740,-73.711137,B1,106,42
     37,010500010009,HARMONY HILL SCHOOL,   1,MADELON K. HICKEY WAY,COHOES,NY,12047,3299,42.771541,-73.711126,14,106,42
     38,010601060003,ROESSLEVILLE SCHOOL,   1,100 CALIFORNIA AVE,ALBANY,NY,12205,2806,42.703671,-73.815309,B1,107,42
